sensory_term_id,term_traditional,term_simplified,pinyin,english,category,definition,operational_note,reference_materials,similar_terms,contrast_terms,defect_flag,sources,curation_status,updated_at
SEN-000055,苦味,苦味,kǔ wèi,bitterness,滋味,由咖啡因、兒茶素等多種物質及其交互作用引起的基本味覺之一。,按強度、出現時間、消退速度及是否轉為回甘記錄；苦不必然是缺陷。,已確認安全的茶樣，按同一茶水比比較,澀感,甜味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000061,苦澀協調,苦涩协调,kǔ sè xié tiáo,balanced bitterness and astringency,滋味,苦味與澀感雖可察覺，但強度、出現順序及消退方式與其他滋味保持平衡。,應先分項評分苦與澀，再記錄整體協調；避免用『化得快』等未定義語句。,,醇厚,粗澀,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000057,酸味,酸味,suān wèi,sourness,滋味,由有機酸等引起的基本味覺，呈酸、尖或發酵酸感。,低度酸可屬風味組成；若伴隨酸餿氣或刺鼻異味，應作缺陷與安全檢查。,低濃度檸檬酸溶液,刺激感,甜味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000049,醇厚,醇厚,chún hòu,mellow and full-bodied,滋味,滋味協調、刺激不粗厲，同時具有較充實的濃度與口腔重量感。,分開評估協調度與厚度；避免把甜、滑、稠全部合併成一個總分。,,濃醇 | 醇和,滋味淡薄 | 粗澀,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000050,醇和,醇和,chún hé,mellow and harmonious,滋味,滋味柔和協調，苦、澀、酸或其他刺激不突出。,醇和主要描述協調與柔和，不必然表示濃厚。,,醇厚 | 甜醇,粗澀,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000059,鮮味,鲜味,xiān wèi,umami,滋味,使人聯想到氨基酸或鮮湯的基本味覺與飽滿感。,與鮮爽總體印象分開；不能只憑鮮味強弱推算茶氨酸含量。,低濃度谷氨酸鈉參考液,鮮爽,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000054,鮮爽,鲜爽,xiān shuǎng,fresh and brisk,滋味,兼有鮮味、清新感與適度活性，入口不滯鈍。,可用鮮味、苦味、澀感及清新度分項校準；不是單一化合物的同義詞。,,鮮味,悶味 | 水味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000076,葉底勻整,叶底匀整,yè dǐ yún zhěng,even infused leaf,葉底,沖泡後葉片在嫩度、大小、色澤及完整程度上較一致。,拼配茶可有合理差異；應按產品目的和樣品規格判讀。,,勻整,雜夾,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000077,葉底明亮,叶底明亮,yè dǐ míng liàng,bright infused leaf,葉底,沖泡後葉片色澤清晰、有自然光澤而不灰暗。,在濕潤、展平及固定光源下觀察；避免由手機自動白平衡判斷。,,油潤,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000074,葉底柔軟,叶底柔软,yè dǐ róu ruǎn,soft infused leaf,葉底,沖泡後葉片觸壓時易彎曲、不硬脆，組織具有柔韌感。,在相同泡次和溫度下觀察；嫩度、製程、乾燥及儲存都會影響。,,葉底肥厚,葉底硬挺,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000080,葉底硬挺,叶底硬挺,yè dǐ yìng tǐng,stiff infused leaf,葉底,沖泡後葉片仍較硬、難展開或彎折回彈明顯。,可能與原料成熟度、殺青、揉捻、乾燥或沖泡不足有關；不能只憑感官確定成因。,,,葉底柔軟,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000078,葉底紅褐,叶底红褐,yè dǐ hóng hè,reddish-brown infused leaf,葉底,沖泡後葉底兼有紅與褐色調。,只記色相與均勻度；不能單靠葉底紅褐判定熟茶年份或倉型。,,紅褐,葉底黃綠,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000075,葉底肥厚,叶底肥厚,yè dǐ féi hòu,thick infused leaf,葉底,沖泡後葉片厚度與肉質感較明顯。,不可由肥厚單獨推斷品種、樹齡或產地；需配合植物及批次資料。,,肥壯 | 葉底柔軟,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000079,葉底黃綠,叶底黄绿,yè dǐ huáng lǜ,yellow-green infused leaf,葉底,沖泡後葉底呈黃色與綠色的混合色調。,同時記錄明暗、勻度及紅變部位；不可用單一色名替代製程分析。,,黃綠,葉底紅褐,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000037,倉味,仓味,cāng wèi,warehouse note,香氣,市場上泛指與儲存環境有關的氣味，可能包括潮、木、紙箱、封閉空間或其他環境聯想。,不是科學上單一氣味；必須拆成具體描述並記錄倉儲條件，不能用來判定年份。,紙箱 | 封閉木櫃 | 潮濕空間,堆味 | 木香,清香,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000040,土腥味,土腥味,tǔ xīng wèi,earthy odor,香氣,使人聯想到濕土、泥土或土壤微生物活動的氣味。,與乾淨木香、菌香及霉味分開；若強烈或伴隨霉斑，應視作安全檢查信號。 本條用作描述已察覺的氣味；不要刻意嗅聞或試飲污染物，也不要自行配製化學參考液。,,菌香 | 霉味,清香,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000036,堆味,堆味,duī wèi,pile-fermentation note,香氣,熟茶渥堆後可能出現、使人聯想到濕熱發酵物料的特定氣味群。,市場用法不完全統一；記錄時須再寫具體聯想、強度及是否隨沖泡減弱。,溫熱濕茶葉 | 發酵穀物,倉味,陳香,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000041,悶味,闷味,mèn wèi,stale enclosed odor,香氣,氣味封閉、不清爽，使人聯想到長時間密閉、悶熱或不充分乾燥。,記錄是否在熱嗅、溫嗅或冷嗅出現，以及醒置後是否減弱。 本條用作描述已察覺的氣味；不要刻意嗅聞或試飲污染物，也不要自行配製化學參考液。,,倉味,清香,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000035,日曬氣,日晒气,rì shài qì,sun-dried note,香氣,評審者用來描述日光乾燥樣品常見的暖乾草、日照纖維或曬物聯想。,屬操作性聯想詞，尚不能由嗅覺單獨驗證乾燥方式；須由製程記錄支持。,日曬乾草 | 曬乾布料,青氣,悶味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000028,木香,木香,mù xiāng,woody aroma,香氣,使人聯想到乾木、木屑、木櫃或樹皮的香氣群。,須區分乾淨木質聯想與潮木、霉木或倉味，並寫明強度。,乾木片 | 樹皮,陳香,霉味 | 倉味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000025,果香,果香,guǒ xiāng,fruity aroma,香氣,使人聯想到新鮮、熟成、乾燥或蜜餞水果的香氣群。,須指明水果家族與熟度，如柑橘、核果或乾果，避免泛化。,柑橘皮 | 熟果 | 乾果,甜香 | 花香,酸餿氣,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000047,樟香聯想,樟香联想,zhāng xiāng lián xiǎng,camphor-like association,香氣,使人聯想到樟木、樟腦或清涼木質調的感官聯想。,屬市場常用聯想詞，不能證明茶與樟樹共生、特定產地或倉儲年代。 本條用作描述已察覺的氣味；不要刻意嗅聞或試飲污染物，也不要自行配製化學參考液。,,木香,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000023,清香,清香,qīng xiāng,fresh clean aroma,香氣,氣味清晰、輕快而無明顯陳、堆或焦氣的香氣總稱。,總稱必須再配具體聯想詞與強度；避免只寫『香』。,嫩葉 | 新鮮草本,青氣,悶味 | 異味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000042,焦味,焦味,jiāo wèi,scorched odor,香氣,使人聯想到焦葉、焦糊或過度受熱物料的氣味。,與正面的烘焙或焦糖聯想分開；可結合葉底焦邊、碳化及殺青記錄判讀。,焦葉 | 焦麵包,煙味,焦糖香,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000032,焦糖香,焦糖香,jiāo táng xiāng,caramel-like aroma,香氣,使人聯想到焦糖、烘烤糖或深色糖漿的香氣。,與燒焦、炭化或煙味分開；過強且刺鼻時可能屬熱損傷。,焦糖 | 黑糖漿,甜香,焦味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000033,煙味,烟味,yān wèi,smoky aroma,香氣,使人聯想到木煙、煙燻或燃燒產物的氣味。,記錄來源未知；可能來自燃料、加工環境、包裝或後期污染，不宜先判定成因。 本條用作描述已察覺的氣味；不要刻意嗅聞或試飲污染物，也不要自行配製化學參考液。,,焦味,清香,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000027,甜香,甜香,tián xiāng,sweet aroma,香氣,嗅聞時引起糖、熟果、烘焙或焦糖等甜味聯想的香氣。,嗅覺甜香與味覺甜味分開評分；可再用蜜、糖或熟果作子類。,熟果 | 焦糖,蜜香 | 焦糖香,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000043,異味,异味,yì wèi,foreign odor,香氣,不屬於樣品預期香氣、且可感知為外來污染或不協調的氣味總稱。,必須補寫具體聯想和可能接觸源，例如香料、清潔劑、煙、塑膠或包裝。,,倉味 | 霉味,香氣純正,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000031,糯甜香,糯甜香,nuò tián xiāng,sweet glutinous-rice aroma,香氣,使人聯想到蒸糯米、米糕或熟穀物的甜暖香氣。,須核對產品是否加入糯米香葉或其他配料；天然聯想與配料香氣不可混寫。,蒸糯米 | 米糕,甜香,水味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000024,花香,花香,huā xiāng,floral aroma,香氣,使人聯想到鮮花、乾花或花蜜的芳香群。,應補充具體參考物，例如白花、桂花或乾花；聯想不表示實際加入花材。,白花 | 桂花 | 乾花,蜜香 | 果香,霉味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000030,菌香,菌香,jūn xiāng,mushroom-like aroma,香氣,使人聯想到乾淨食用菇、乾菌或發酵菌類的氣味。,只作聯想詞，不表示已鑑定某菌種；與霉味及土腥味分開。,乾香菇 | 乾菌,陳香,霉味 | 土腥味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000048,藥材香聯想,药材香联想,yào cái xiāng lián xiǎng,dried-herb association,香氣,使人聯想到乾燥根、皮、籽或傳統藥材櫃的複合香氣。,必須指出具體參考物；感官聯想不代表含有藥材，也不構成醫療功效。,乾燥陳皮 | 甘草 | 乾根材,陳香 | 木香,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000026,蜜香,蜜香,mì xiāng,honey-like aroma,香氣,使人聯想到蜂蜜、花蜜或蜜蠟的甜潤香氣。,只屬感官聯想，不代表樣品含蜂蜜或有外加糖。,蜂蜜 | 蜜蠟,甜香 | 花香,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000039,酸餿氣,酸馊气,suān sōu qì,sour-spoiled odor,香氣,使人聯想到酸敗食物、餿水或失控發酵的刺鼻酸氣。,屬明顯缺陷信號；應停止常規品飲並檢查水分、衛生及批次狀態。 本條用作描述已察覺的氣味；不要刻意嗅聞或試飲污染物，也不要自行配製化學參考液。,,酸味,香氣純正,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000029,陳香,陈香,chén xiāng,aged aroma,香氣,在適當保存與時間變化後形成、整體乾淨協調的成熟香氣描述。,必須排除霉、潮、酸餿及異味；陳香不能單獨證明年份或倉儲地。,乾燥舊木 | 乾果皮 | 熟成穀物,木香,霉味 | 倉味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000038,霉味,霉味,méi wèi,mouldy odor,香氣,使人聯想到可見霉菌、霉濕紙張、霉布或地下室的異常氣味。,感官發現只代表風險信號；不要試飲可疑樣品，並以外觀、含水、微生物或毒素檢測再判定。 本條用作描述已察覺的氣味；不要刻意嗅聞或試飲污染物，也不要自行配製化學參考液。,,倉味 | 土腥味,陳香 | 香氣純正,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000034,青氣,青气,qīng qì,green note,香氣,使人聯想到鮮草、青葉、青豆或未熟植物組織的氣味。,青氣可因原料、殺青、乾燥或保存而異；需與清香的正面乾淨感分開。,折斷青葉 | 青豆,清香,陳香,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000045,香氣持久,香气持久,xiāng qì chí jiǔ,persistent aroma,香氣,香氣在多次嗅聞、降溫或多泡沖泡後仍可辨識。,以固定時間點或泡次記錄，不用『很久』等無尺度語句。,,香氣高揚,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
